"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0045004"	2	"DNA replication proofreading"	"Correction of replication errors by DNA polymerase using a 3'-5' exonuclease activity."	"YDL102W,YNL262W"
"GO:0045005"	3	"DNA-templated DNA replication maintenance of fidelity"	"A DNA metabolic process that prevents or corrects errors to ensure that DNA is replicated accurately. Errors can be corrected either by intrinsic DNA polymerase proofreading activity or via mismatch repair."	"YDL102W,YLR430W,YPR175W"
"GO:0045010"	4	"actin nucleation"	"The initial step in the formation of an actin filament, in which actin monomers combine to form a new filament. Nucleation is slow relative to the subsequent addition of more monomers to extend the filament."	"YHR114W,YIL159W,YNL271C,YOR181W"
"GO:0045016"	2	"mitochondrial magnesium ion transmembrane transport"	"The process in which a magnesium ion (Mg2+) is transported across a mitochondrial membrane, into or out of the mitochondrion."	"YOR334W,YPL060W"
"GO:0045022"	1	"early endosome to late endosome transport"	"The directed movement of substances, in membrane-bounded vesicles, from the early sorting endosomes to the late sorting endosomes; transport occurs along microtubules and can be experimentally blocked with microtubule-depolymerizing drugs."	"YJR033C"
"GO:0045033"	5	"peroxisome inheritance"	"The acquisition of peroxisomes by daughter cells from the mother cell after replication. In Saccharomyces cerevisiae, the number of peroxisomes cells is fairly constant; a subset of the organelles are targeted and segregated to the bud in a highly ordered, vectorial process. Efficient segregation of peroxisomes from mother to bud is dependent on the actin cytoskeleton, and active movement of peroxisomes along actin filaments is driven by the class V myosin motor protein, Myo2p."	"YDL065C,YDR329C,YMR163C,YMR204C,YOR326W"
"GO:0045039"	14	"protein insertion into mitochondrial inner membrane"	"The processes mediating the insertion of proteins into the mitochondrial inner membrane. Mitochondrial inner membrane proteins can get inserted from the cytosol, by crossing the outer membrane and being guided by an inner membrane translocase complex into their final destination in the inner membrane. Some proteins present in the intermembrane space can get inserted into the inner mitochondrial membrane. Finally, some proteins are inserted into the inner membrane from the matrix side of the membrane."	"YBR091C,YDL217C,YDR161W,YEL020W-A,YER154W,YGR181W,YHR005C-A,YHR117W,YJL054W,YJR135W-A,YKL141W,YNL121C,YOR297C,YPL098C"
"GO:0045040"	11	"protein insertion into mitochondrial outer membrane"	"The process comprising the insertion of proteins from outside the organelle into the mitochondrial outer membrane, mediated by large outer membrane translocase complexes."	"YAL010C,YHR083W,YIR004W,YLL006W,YLR099W-A,YMR060C,YNL026W,YNL070W,YNL131W,YOL009C,YOL026C"
"GO:0045041"	8	"protein import into mitochondrial intermembrane space"	"The import of proteins into the space between the inner and outer mitochondrial membranes."	"YBR044C,YGR029W,YKL084W,YKL195W,YKR016W,YLR259C,YOR020C,YPR024W"
"GO:0045046"	2	"protein import into peroxisome membrane"	"The targeting of proteins into the peroxisomal membrane. The process is not well understood, but both signals and mechanism differ from those involved in peroxisomal matrix protein import."	"YDL065C,YDR329C"
"GO:0045047"	10	"protein targeting to ER"	"The process of directing proteins towards the endoplasmic reticulum (ER) using signals contained within the protein. One common mechanism uses a 16- to 30-residue signal sequence, typically located at the N-terminus of the protein and containing positively charged amino acids followed by a continuous stretch of hydrophobic residues, which directs the ribosome to the ER membrane and initiates transport of the growing polypeptide across the ER membrane."	"YBR106W,YDL092W,YDR292C,YHL028W,YIR022W,YJR010C-A,YKL154W,YLR066W,YML055W,YNL064C"
"GO:0045048"	4	"protein insertion into ER membrane"	"The process that results in incorporation of a protein into an endoplasmic reticulum (ER) membrane. It depends on specific topogenic sequences of amino acids that ensure that a protein acquires the proper orientation during its insertion into the ER membrane."	"YDL100C,YER083C,YOL111C,YOR164C"
"GO:0045053"	15	"protein retention in Golgi apparatus"	"The retention of proteins within the Golgi apparatus. Golgi-localized carbohydrate-modifying enzymes have a short N-terminal domain that faces the cytosol, a single transmembrane alpha helix, and a large C-terminal domain that faces the Golgi lumen and that contains the catalytic site. How the membrane-spanning alpha helix in a Golgi enzyme causes its localization and prevents its movement to the plasma membrane is not known."	"YBR097W,YDR372C,YER151C,YHR181W,YJL053W,YJL154C,YKL002W,YKR001C,YKR078W,YLL040C,YLR417W,YNR006W,YNR051C,YOR069W,YPR173C"
"GO:0045104"	1	"intermediate filament cytoskeleton organization"	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising intermediate filaments and their associated proteins."	"YDR130C"
"GO:0045116"	6	"protein neddylation"	"Covalent attachment of the ubiquitin-like protein NEDD8 (RUB1) to another protein."	"YDR139C,YDR328C,YLR128W,YLR306W,YPL003W,YPR066W"
"GO:0045117"	1	"azole transmembrane transport"	"The directed movement of azoles, heterocyclic compounds found in many biologically important substances, across a lipid bilayer, across a membrane."	"YGR224W"
"GO:0045128"	3	"negative regulation of reciprocal meiotic recombination"	"Any process that decreases the frequency, rate or extent of recombination during meiosis. Reciprocal meiotic recombination is the cell cycle process in which double strand breaks are formed and repaired through a double Holliday junction intermediate."	"YDR285W,YJL168C,YNL330C"
"GO:0045132"	11	"meiotic chromosome segregation"	"The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets during M phase of the meiotic cell cycle."	"YCR086W,YER106W,YGL071W,YGR225W,YIL132C,YMR048W,YMR190C,YOL069W,YOR073W,YOR373W,YPL200W"
"GO:0045141"	4	"meiotic telomere clustering"	"The cell cycle process in which the dynamic reorganization of telomeres occurs in early meiotic prophase, during which meiotic chromosome ends are gathered in a bouquet arrangement at the inner surface of the nuclear envelope proximal to the spindle pole body. This plays an important role in progression through meiosis and precedes synapsis."	"YJL019W,YJL080C,YOL104C,YPL200W"
"GO:0045143"	7	"homologous chromosome segregation"	"The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the first division of the meiotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner; this pairing off, referred to as synapsis, permits genetic recombination. One homolog (both sister chromatids) of each morphologic type goes into each of the resulting chromosome sets."	"YCR086W,YDR439W,YER106W,YGL190C,YML085C,YML124C,YPL209C"
"GO:0045144"	7	"meiotic sister chromatid segregation"	"The cell cycle process in which sister chromatids are organized and then physically separated and randomly apportioned to two sets during the second division of the meiotic cell cycle."	"YBR073W,YBR107C,YGL216W,YLR320W,YOR073W,YPL017C,YPL209C"
"GO:0045149"	3	"acetoin metabolic process"	"The chemical reactions and pathways involving acetoin, 3-hydroxy-2-butanone, often as part of a fermentation pathway or for use as a carbon source."	"YBR149W,YDR368W,YMR226C"
"GO:0045184"	10	"establishment of protein localization"	"The directed movement of a protein to a specific location."	"YAR007C,YBR283C,YDR499W,YGR152C,YJL173C,YLR378C,YNL078W,YNL312W,YOL070C,YOR073W"
"GO:0045185"	3	"maintenance of protein location"	"Any process in which a protein is maintained in a location and prevented from moving elsewhere. These include sequestration, stabilization to prevent transport elsewhere and the active retrieval of proteins that do move away."	"YBR200W,YDR009W,YPL158C"
"GO:0045292"	7	"mRNA cis splicing, via spliceosome"	"The joining together, after removal of an intervening sequence composed of one or more introns, of two segments of the same RNA molecule via spliceosomal catalysis to produce an mRNA composed only of exon sequences that all came from the same primary transcript."	"YDR163W,YJL203W,YKL012W,YKL183W,YOR308C,YPL178W,YPR152C"
"GO:0045324"	21	"late endosome to vacuole transport"	"The directed movement of substances from late endosomes to the vacuole. In yeast, after transport to the prevacuolar compartment, endocytic content is delivered to the late endosome and on to the vacuole. This pathway is analogous to endosome to lysosome transport."	"YBR097W,YCL008C,YDR486C,YFR021W,YHL002W,YHR001W,YJL049W,YKL002W,YKL041W,YKR035W-A,YLL040C,YLR025W,YLR148W,YLR181C,YLR360W,YMR077C,YMR231W,YNR006W,YPL045W,YPL120W,YPR173C"
"GO:0045329"	1	"carnitine biosynthetic process"	"The chemical reactions and pathways resulting in the formation of carnitine (hydroxy-trimethyl aminobutyric acid), a compound that participates in the transfer of acyl groups across the inner mitochondrial membrane."	"YHL021C"
"GO:0045332"	13	"phospholipid translocation"	"The movement of a phospholipid molecule from one leaflet of a membrane bilayer to the opposite leaflet."	"YAL026C,YCR091W,YCR094W,YDR093W,YER166W,YIL048W,YKL053C-A,YLR193C,YMR010W,YMR162C,YNL323W,YNR048W,YOR049C"
"GO:0045333"	9	"cellular respiration"	"The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."	"YDR031W,YDR178W,YJL045W,YJR120W,YKL141W,YKL148C,YLL041C,YMR030W,YOL008W"
"GO:0045337"	3	"farnesyl diphosphate biosynthetic process"	"The chemical reactions and pathways resulting in the formation of farnesyl diphosphate."	"YJL167W,YPL069C,YPL117C"
"GO:0045338"	1	"farnesyl diphosphate metabolic process"	"The chemical reactions and pathways involving farnesyl diphosphate, an intermediate in carotenoid, sesquiterpene, squalene and sterol biosynthesis, as well as a substrate in protein farnesylation."	"YHR190W"
"GO:0045429"	1	"positive regulation of nitric oxide biosynthetic process"	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of nitric oxide."	"YPR048W"
"GO:0045454"	20	"cell redox homeostasis"	"Any process that maintains the redox environment of a cell or compartment within a cell."	"YBL064C,YDR135C,YDR353W,YDR453C,YER132C,YGL197W,YGR209C,YHR106W,YIL010W,YIL114C,YLR043C,YLR109W,YLR430W,YML028W,YML050W,YNL055C,YPL091W,YPL132W,YPR100W,YPR194C"
"GO:0045471"	3	"response to ethanol"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus."	"YER028C,YHL010C,YPR093C"
"GO:0045490"	1	"pectin catabolic process"	"The chemical reactions and pathways resulting in the breakdown of pectin, a polymer containing a backbone of alpha-1,4-linked D-galacturonic acid residues."	"YJR153W"
"GO:0045717"	1	"negative regulation of fatty acid biosynthetic process"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of fatty acids."	"YLR380W"
"GO:0045719"	5	"negative regulation of glycogen biosynthetic process"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of glycogen."	"YAL017W,YGL134W,YOL045W,YPL031C,YPL219W"
"GO:0045721"	11	"negative regulation of gluconeogenesis"	"Any process that stops, prevents, or reduces the frequency, rate or extent of gluconeogenesis."	"YBR058C,YBR105C,YCL039W,YDR255C,YDR313C,YEL012W,YGL227W,YGR066C,YIL017C,YIL097W,YMR135C"
"GO:0045722"	3	"positive regulation of gluconeogenesis"	"Any process that activates or increases the frequency, rate or extent of gluconeogenesis."	"YDR477W,YGL115W,YJL089W"
"GO:0045723"	1	"positive regulation of fatty acid biosynthetic process"	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of fatty acids."	"YER125W"
"GO:0045727"	13	"positive regulation of translation"	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."	"YCL037C,YDL160C,YDR091C,YDR515W,YGR072W,YGR178C,YKR084C,YLL013C,YLR289W,YNL001W,YOR276W,YPL074W,YPR096C"
"GO:0045732"	4	"positive regulation of protein catabolic process"	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."	"YDL007W,YGR225W,YKL145W,YMR021C"
"GO:0045736"	1	"negative regulation of cyclin-dependent protein serine/threonine kinase activity"	"Any process that stops, prevents, or reduces the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity."	"YJL194W"
"GO:0045737"	1	"positive regulation of cyclin-dependent protein serine/threonine kinase activity"	"Any process that activates or increases the frequency, rate or extent of CDK activity."	"YDR460W"
"GO:0045740"	3	"positive regulation of DNA replication"	"Any process that activates or increases the frequency, rate or extent of DNA replication."	"YER143W,YGR109C,YPR120C"
"GO:0045762"	1	"positive regulation of adenylate cyclase activity"	"Any process that activates or increases the frequency, rate or extent of adenylate cyclase activity."	"YOR101W"
"GO:0045772"	1	"positive regulation of autophagosome size"	"Any process that increases autophagosome size."	"YLR423C"
"GO:0045806"	1	"negative regulation of endocytosis"	"Any process that stops, prevents, or reduces the frequency, rate or extent of endocytosis."	"YNL183C"
"GO:0045807"	7	"positive regulation of endocytosis"	"Any process that activates or increases the frequency, rate or extent of endocytosis."	"YER125W,YGR167W,YKL203C,YLR342W,YLR371W,YOR008C,YPR165W"
"GO:0045815"	1	"epigenetic maintenance of chromatin in transcription-competent conformation"	"An epigenetic process that capacitates gene expression by remodelling of chromatin by either modifying the chromatin fiber, the nucleosomal histones, or the DNA."	"YKL160W"
"GO:0045818"	1	"negative regulation of glycogen catabolic process"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of glycogen."	"YFR017C"
"GO:0045819"	1	"positive regulation of glycogen catabolic process"	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of glycogen."	"YBR160W"
"GO:0045821"	1	"positive regulation of glycolytic process"	"Any process that activates or increases the frequency, rate or extent of glycolysis."	"YOR344C"
"GO:0045835"	5	"negative regulation of meiotic nuclear division"	"Any process that stops, prevents, or reduces the frequency, rate or extent of meiosis."	"YBR103W,YDL194W,YGL194C,YGR044C,YKR029C"
"GO:0045836"	1	"positive regulation of meiotic nuclear division"	"Any process that activates or increases the frequency, rate or extent of meiosis."	"YDR155C"
"GO:0045842"	6	"positive regulation of mitotic metaphase/anaphase transition"	"Any process that activates or increases the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."	"YDL008W,YGL003C,YGL116W,YHR166C,YKL022C,YOR249C"
"GO:0045860"	1	"positive regulation of protein kinase activity"	"Any process that activates or increases the frequency, rate or extent of protein kinase activity."	"YDL130W"
"GO:0045861"	2	"negative regulation of proteolysis"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."	"YGR132C,YGR231C"
"GO:0045875"	1	"negative regulation of sister chromatid cohesion"	"Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid cohesion."	"YBR160W"
"GO:0045876"	1	"positive regulation of sister chromatid cohesion"	"Any process that activates or increases the frequency, rate or extent of sister chromatid cohesion."	"YHR014W"
"GO:0045892"	11	"negative regulation of transcription, DNA-templated"	"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."	"YBL052C,YBR103W,YBR160W,YIL115C,YIL131C,YMR127C,YNL068C,YOR244W,YPL082C,YPR023C,YPR104C"
"GO:0045893"	25	"positive regulation of transcription, DNA-templated"	"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."	"YAL034C,YBR083W,YBR111W-A,YBR160W,YDL116W,YDR176W,YDR448W,YDR463W,YFR037C,YGL092W,YIL154C,YJL176C,YJR042W,YKL057C,YKL068W,YKR023W,YKR082W,YLR098C,YLR208W,YMR153W,YOR338W,YPL047W,YPL138C,YPL181W,YPL254W"
"GO:0045895"	2	"positive regulation of mating-type specific transcription, DNA-templated"	"Any mating-type specific process that activates or increases the rate of cellular DNA-templated transcription."	"YCL066W,YCR040W"
"GO:0045898"	2	"regulation of RNA polymerase II transcription preinitiation complex assembly"	"Any process that modulates the frequency, rate or extent of RNA polymerase II transcriptional preinitiation complex assembly."	"YDR397C,YPL082C"
"GO:0045899"	11	"positive regulation of RNA polymerase II transcription preinitiation complex assembly"	"Any process that activates or increases the frequency, rate or extent of RNA polymerase II transcriptional preinitiation complex assembly."	"YDR394W,YEL009C,YGL043W,YGL048C,YGL066W,YGL207W,YJR017C,YKL145W,YML069W,YOR117W,YOR259C"
"GO:0045900"	1	"negative regulation of translational elongation"	"Any process that stops, prevents, or reduces the frequency, rate or extent of translational elongation."	"YDL160C"
"GO:0045901"	4	"positive regulation of translational elongation"	"Any process that activates or increases the frequency, rate or extent of translational elongation."	"YDR385W,YEL034W,YJR047C,YOR133W"
"GO:0045903"	7	"positive regulation of translational fidelity"	"Any process that increases the ability of the translational apparatus to interpret the genetic code."	"YBR189W,YER025W,YGL123W,YIL110W,YJL006C,YKL139W,YML112W"
"GO:0045905"	3	"positive regulation of translational termination"	"Any process that activates or increases the frequency, rate or extent of translational termination."	"YBR271W,YEL034W,YJR047C"
"GO:0045910"	6	"negative regulation of DNA recombination"	"Any process that stops, prevents, or reduces the frequency, rate or extent of DNA recombination."	"YBR279W,YDL042C,YJL092W,YLR418C,YOL115W,YPL127C"
"GO:0045911"	1	"positive regulation of DNA recombination"	"Any process that activates or increases the frequency, rate or extent of DNA recombination."	"YDR110W"
"GO:0045921"	4	"positive regulation of exocytosis"	"Any process that activates or increases the frequency, rate or extent of exocytosis."	"YDR122W,YIL118W,YLR096W,YLR229C"
"GO:0045922"	1	"negative regulation of fatty acid metabolic process"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving fatty acids."	"YCL026C-A"
"GO:0045930"	1	"negative regulation of mitotic cell cycle"	"Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."	"YBR160W"
"GO:0045931"	2	"positive regulation of mitotic cell cycle"	"Any process that activates or increases the rate or extent of progression through the mitotic cell cycle."	"YBR160W,YPL017C"
"GO:0045936"	2	"negative regulation of phosphate metabolic process"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving phosphates."	"YOL001W,YPL031C"
"GO:0045937"	2	"positive regulation of phosphate metabolic process"	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."	"YDL106C,YFR034C"
"GO:0045943"	15	"positive regulation of transcription by RNA polymerase I"	"Any process that activates or increases the frequency, rate or extent of transcription mediated by RNA polymerase I."	"YDR138W,YDR324C,YDR398W,YGR128C,YHL025W,YHR196W,YHR205W,YJL006C,YJL109C,YKL139W,YML112W,YMR028W,YMR093W,YNL139C,YPL126W"
"GO:0045944"	212	"positive regulation of transcription by RNA polymerase II"	"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."	"YAL013W,YAL051W,YBL005W,YBL052C,YBL103C,YBR111W-A,YBR112C,YBR135W,YBR160W,YBR182C,YBR193C,YBR239C,YBR240C,YBR245C,YBR253W,YBR289W,YCL010C,YCR065W,YCR081W,YCR082W,YCR084C,YCR106W,YDL005C,YDL020C,YDL056W,YDL080C,YDL106C,YDL108W,YDL116W,YDL170W,YDL233W,YDR034C,YDR073W,YDR081C,YDR096W,YDR123C,YDR173C,YDR207C,YDR213W,YDR216W,YDR217C,YDR253C,YDR259C,YDR303C,YDR308C,YDR397C,YDR421W,YDR423C,YDR443C,YDR463W,YER022W,YER040W,YER045C,YER125W,YER159C,YER184C,YFL021W,YFL031W,YFR034C,YGL013C,YGL025C,YGL035C,YGL036W,YGL071W,YGL073W,YGL130W,YGL150C,YGL162W,YGL166W,YGL181W,YGL209W,YGL252C,YGR044C,YGR104C,YGR116W,YGR163W,YGR252W,YGR262C,YGR270W,YHL009C,YHL020C,YHL025W,YHL027W,YHR006W,YHR041C,YHR054C,YHR056C,YHR058C,YHR099W,YHR119W,YHR124W,YHR177W,YHR178W,YIL036W,YIL056W,YIL084C,YIL119C,YIL122W,YIL126W,YIL130W,YIL131C,YIR013C,YIR018W,YIR033W,YJL056C,YJL089W,YJL110C,YJL176C,YJL184W,YJL206C,YJR017C,YJR060W,YJR094C,YJR119C,YKL015W,YKL020C,YKL038W,YKL043W,YKL057C,YKL062W,YKR034W,YKR038C,YKR064W,YKR082W,YKR095W-A,YKR099W,YLL010C,YLL054C,YLR014C,YLR055C,YLR071C,YLR113W,YLR131C,YLR176C,YLR182W,YLR228C,YLR266C,YLR278C,YLR403W,YLR427W,YLR451W,YML007W,YML036W,YML091C,YMR016C,YMR020W,YMR021C,YMR033W,YMR037C,YMR042W,YMR043W,YMR070W,YMR075W,YMR112C,YMR127C,YMR164C,YMR172W,YMR182C,YMR263W,YMR280C,YNL021W,YNL025C,YNL027W,YNL068C,YNL097C,YNL103W,YNL167C,YNL199C,YNL216W,YNL236W,YNL257C,YNL309W,YNL330C,YNR010W,YNR023W,YOL004W,YOL028C,YOL051W,YOL067C,YOL089C,YOL108C,YOL116W,YOL135C,YOR113W,YOR140W,YOR162C,YOR229W,YOR230W,YOR244W,YOR281C,YOR290C,YOR298C-A,YOR304W,YOR363C,YPL016W,YPL026C,YPL038W,YPL048W,YPL075W,YPL089C,YPL116W,YPL133C,YPL139C,YPL202C,YPR005C,YPR008W,YPR009W,YPR034W,YPR068C,YPR070W,YPR104C,YPR168W"
"GO:0045945"	3	"positive regulation of transcription by RNA polymerase III"	"Any process that activates or increases the frequency, rate or extent of transcription mediated by RNA polymerase III."	"YGL122C,YHR205W,YMR039C"
"GO:0045947"	4	"negative regulation of translational initiation"	"Any process that stops, prevents, or reduces the frequency, rate or extent of translational initiation."	"YCR077C,YGL178W,YPR041W,YPR129W"
"GO:0045948"	5	"positive regulation of translational initiation"	"Any process that activates or increases the frequency, rate or extent of translational initiation."	"YDR404C,YEL034W,YJL140W,YKR026C,YLR215C"
"GO:0045950"	3	"negative regulation of mitotic recombination"	"Any process that inhibits or decreases the rate of DNA recombination during mitosis."	"YDR014W-A,YOL068C,YPL015C"
"GO:0045951"	1	"positive regulation of mitotic recombination"	"Any process that activates or increases the frequency, rate or extent of DNA recombination during mitosis."	"YER171W"
"GO:0045984"	1	"negative regulation of pyrimidine nucleobase metabolic process"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving pyrimidine nucleobases."	"YJL130C"
"GO:0046015"	1	"regulation of transcription by glucose"	"Any process involving glucose that modulates the frequency, rate or extent or transcription."	"YGL253W"
"GO:0046033"	3	"AMP metabolic process"	"The chemical reactions and pathways involving AMP, adenosine monophosphate."	"YDR226W,YER170W,YML035C"
"GO:0046034"	4	"ATP metabolic process"	"The chemical reactions and pathways involving ATP, adenosine triphosphate, a universally important coenzyme and enzyme regulator."	"YBL099W,YDL185W,YDR226W,YJR121W"
"GO:0046037"	2	"GMP metabolic process"	"The chemical reactions and pathways involving GMP, guanosine monophosphate."	"YDR454C,YMR217W"
"GO:0046039"	1	"GTP metabolic process"	"The chemical reactions and pathways involving GTP, guanosine triphosphate."	"YER170W"
"GO:0046040"	1	"IMP metabolic process"	"The chemical reactions and pathways involving IMP, inosine monophosphate."	"YNL220W"
"GO:0046041"	1	"ITP metabolic process"	"The chemical reactions and pathways involving ITP, inosine triphosphate."	"YER170W"
"GO:0046081"	1	"dUTP catabolic process"	"The chemical reactions and pathways resulting in the breakdown of dUTP, deoxyuridine (5'-)triphosphate."	"YBR252W"
"GO:0046084"	2	"adenine biosynthetic process"	"The chemical reactions and pathways resulting in the formation of adenine, 6-aminopurine, one of the five main bases found in nucleic acids and a component of numerous important derivatives of its corresponding ribonucleoside, adenosine."	"YDR408C,YGL234W"
"GO:0046087"	1	"cytidine metabolic process"	"The chemical reactions and pathways involving cytidine, cytosine riboside, a widely distributed nucleoside."	"YPR062W"
"GO:0046098"	1	"guanine metabolic process"	"The chemical reactions and pathways involving guanine, 2-amino-6-hydroxypurine, a purine that is one of the five main bases found in nucleic acids and a component of a number of phosphorylated guanosine derivatives whose metabolic or regulatory functions are important."	"YDL238C"
"GO:0046100"	2	"hypoxanthine metabolic process"	"The chemical reactions and pathways involving hypoxanthine, 6-hydroxy purine, an intermediate in the degradation of adenylate. Its ribonucleoside is known as inosine and its ribonucleotide as inosinate."	"YDR399W,YJR133W"
"GO:0046115"	2	"guanosine catabolic process"	"The chemical reactions and pathways resulting in the breakdown of guanine, guanine riboside, a nucleoside with a wide species distribution."	"YLR209C,YMR278W"
"GO:0046132"	2	"pyrimidine ribonucleoside biosynthetic process"	"The chemical reactions and pathways resulting in the formation of any ribonucleoside, a nucleoside in which a pyrimidine base is linked to a ribose (beta-D-ribofuranose) molecule."	"YML106W,YMR271C"
"GO:0046135"	1	"pyrimidine nucleoside catabolic process"	"The chemical reactions and pathways resulting in the breakdown of one of a family of organic molecules consisting of a pyrimidine base covalently bonded to a sugar ribose (a ribonucleoside) or deoxyribose (a deoxyribonucleoside)."	"YDR400W"
"GO:0046166"	1	"glyceraldehyde-3-phosphate biosynthetic process"	"The chemical reactions and pathways resulting in the formation of glyceraldehyde-3-phosphate, an important intermediate in glycolysis."	"YDR050C"
"GO:0046167"	1	"glycerol-3-phosphate biosynthetic process"	"The chemical reactions and pathways resulting in the formation of glycerol-3-phosphate, a phosphoric monoester of glycerol."	"YHL032C"
"GO:0046168"	1	"glycerol-3-phosphate catabolic process"	"The chemical reactions and pathways resulting in the breakdown of glycerol-3-phosphate, a phosphoric monoester of glycerol."	"YOL059W"
"GO:0046177"	3	"D-gluconate catabolic process"	"The chemical reactions and pathways resulting in the breakdown of D-gluconate, the anion of D-gluconic acid, the aldonic acid derived from glucose."	"YDR248C,YGR256W,YHR183W"
"GO:0046185"	1	"aldehyde catabolic process"	"The chemical reactions and pathways resulting in the breakdown of aldehydes, any organic compound with the formula R-CH=O."	"YMR110C"
"GO:0046208"	1	"spermine catabolic process"	"The chemical reactions and pathways resulting in the breakdown of spermine, a polybasic amine found in human sperm, in ribosomes and in some viruses and involved in nucleic acid packaging."	"YMR020W"
"GO:0046210"	2	"nitric oxide catabolic process"	"The chemical reactions and pathways resulting in the breakdown of nitric oxide, nitrogen monoxide (NO), a colorless gas only slightly soluble in water."	"YGR234W,YNL234W"
"GO:0046281"	2	"cinnamic acid catabolic process"	"The chemical reactions and pathways resulting in the breakdown of cinnamic acid, 3-phenyl-2-propenoic acid."	"YDR538W,YDR539W"
"GO:0046294"	2	"formaldehyde catabolic process"	"The chemical reactions and pathways resulting in the breakdown of formaldehyde (methanal, H2C=O), the simplest aldehyde."	"YDL168W,YJL068C"
"GO:0046306"	1	"alkanesulfonate catabolic process"	"The chemical reactions and pathways resulting in the breakdown of alkanesulfonates, the anion of alkanesulfonic acids, sulfonic acid derivatives containing an aliphatic hydrocarbon group."	"YLL057C"
"GO:0046323"	3	"glucose import"	"The directed movement of the hexose monosaccharide glucose into a cell or organelle."	"YCL040W,YFR053C,YGL253W"
"GO:0046337"	2	"phosphatidylethanolamine metabolic process"	"The chemical reactions and pathways involving phosphatidylethanolamine, any of a class of glycerophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of ethanolamine. It is a major structural phospholipid in mammalian systems. It tends to be more abundant than phosphatidylcholine in the internal membranes of the cell and is an abundant component of prokaryotic membranes."	"YLR168C,YOR022C"
"GO:0046339"	1	"diacylglycerol metabolic process"	"The chemical reactions and pathways involving diacylglycerol, a glyceride in which any two of the R groups (positions not specified) are acyl groups while the remaining R group can be either H or an alkyl group."	"YOR093C"
"GO:0046352"	8	"disaccharide catabolic process"	"The chemical reactions and pathways resulting in the breakdown of disaccharides, sugars composed of two monosaccharide units."	"YBR299W,YGR287C,YGR289C,YGR292W,YIL172C,YJL216C,YJL221C,YOL157C"
"GO:0046354"	2	"mannan biosynthetic process"	"The chemical reactions and pathways resulting in the formation of mannan, the main hemicellulose of soft (coniferous) wood, made up of D-mannose, D-glucose and D-galactose."	"YBR015C,YJL186W"
"GO:0046356"	1	"acetyl-CoA catabolic process"	"The chemical reactions and pathways resulting in the breakdown of acetyl-CoA, a derivative of coenzyme A in which the sulfhydryl group is acetylated."	"YNR001C"
"GO:0046390"	1	"ribose phosphate biosynthetic process"	"The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."	"YKR043C"
"GO:0046394"	5	"carboxylic acid biosynthetic process"	"The chemical reactions and pathways resulting in the formation of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."	"YER052C,YER081W,YER086W,YIL074C,YNL316C"
"GO:0046416"	1	"D-amino acid metabolic process"	"The chemical reactions and pathways involving D-amino acids, the D-enantiomers of amino acids."	"YEL066W"
